City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,ixtapa,20.7,-105.2,25.57,73,75,2.06,MX,1701479488
121,lompoc,34.6391,-120.4579,17.08,73,0,4.63,US,1701479339
122,touros,-5.1989,-35.4608,26.16,80,17,5.48,BR,1701479598
123,neftegorsk,52.802,51.166,-1.45,98,100,6.41,RU,1701479603
124,ponta delgada,37.7333,-25.6667,17.4,63,20,5.66,PT,1701479603
125,puerto deseado,-47.7503,-65.8938,11.76,38,100,0.43,AR,1701479603
126,sake,-1.5736,29.045,17.32,94,97,0.27,CD,1701479603
127,tabou,4.423,-7.3528,25.92,88,8,3.24,CI,1701479604
128,severnoye,56.3491,78.3619,-7.23,95,84,2.68,RU,1701479604
129,longyearbyen,78.2186,15.6401,-7.09,68,75,8.23,SJ,1701479575
130,constantia,44.1833,28.65,10.39,84,25,4.26,RO,1701479604
131,port alfred,-33.5906,26.891,17.88,90,100,0.89,ZA,1701479604
132,dzhalagash,45.0833,64.6667,2.49,46,70,2.47,KZ,1701479605
133,palikir - national government center,6.9248,158.1611,30.47,70,100,5.14,FM,1701479605
134,cabo san lucas,22.8909,-109.9124,24.31,57,20,5.14,MX,1701479551
135,east london,-33.0153,27.9116,19.8,77,92,6.2,ZA,1701479605
136,menongue,-14.6585,17.691,17.58,93,100,1.57,AO,1701479605
137,bandundu,-3.3167,17.3667,21.87,99,100,1.74,CD,1701479606
138,caluula,11.9661,50.7569,26.41,65,97,5.69,SO,1701479606
139,vernon,50.2581,-119.2691,0.52,72,100,0.89,CA,1701479606
140,sitka,57.0531,-135.33,6.94,57,75,7.72,US,1701479606
141,gokwe,-18.2048,28.9349,16.35,59,5,3.16,ZW,1701479607
142,puerto ayacucho,5.6639,-67.6236,27.22,71,71,1.36,VE,1701479607
143,baharampur,24.1,88.25,20.6,58,84,1.61,IN,1701479607
144,aasiaat,68.7098,-52.8699,-10.17,84,52,4.07,GL,1701479607
145,wielun,51.221,18.5696,-2.05,83,100,2.93,PL,1701479607
146,luba,3.4568,8.5547,24.94,84,100,3.45,GQ,1701479608
147,hawaiian paradise park,19.5933,-154.9731,26.04,85,75,4.12,US,1701479608
148,enewetak,11.3474,162.3373,27.68,78,66,8.75,MH,1701479608
149,altamira,-3.2033,-52.2064,25.32,76,3,1.24,BR,1701479609
150,iskateley,67.6803,53.1512,-6.66,96,100,2.24,RU,1701479609
151,karratha,-20.7377,116.8463,28.32,49,0,4.93,AU,1701479609
152,ulanhot,46.0833,122.0833,-11.76,67,2,3.24,CN,1701479609
153,gotsucho,35,132.2167,8.96,57,81,5.5,JP,1701479408
154,qaqortoq,60.7167,-46.0333,-4.74,83,100,1.81,GL,1701479610
155,kerikeri,-35.2268,173.9474,19.74,57,90,3.52,NZ,1701479610
156,galliano,29.4422,-90.2992,22,83,100,3.09,US,1701479610
157,princeville,45.7668,-61.2985,7.73,94,99,2.41,CA,1701479610
158,hithadhoo,-0.6,73.0833,27.23,77,100,4.98,MV,1701479611
159,richards bay,-28.783,32.0377,19.87,66,0,7.37,ZA,1701479611
160,anadyr,64.75,177.4833,-13.72,92,40,1,RU,1701479611
161,kapuskasing,49.4169,-82.4331,-6.95,79,100,2.57,CA,1701479483
162,maintirano,-18.0667,44.0167,25.29,79,100,2.64,MG,1701479611
163,youkounkoun,12.5333,-13.1333,25.53,26,99,1.16,GN,1701479612
164,gornyye klyuchi,45.25,133.5,-11.48,86,13,2.18,RU,1701479612
165,ust-nera,64.5667,143.2,-28.14,99,100,0.94,RU,1701479318
166,grand falls-windsor,48.9332,-55.6649,4.72,93,100,0.45,CA,1701479612
167,maracacume,-2.0428,-45.9592,23.43,93,75,1.45,BR,1701479612
168,colonia,50.9333,6.95,-0.58,71,100,2.06,DE,1701479551
169,hasaki,35.7333,140.8333,11.27,52,2,3.81,JP,1701479613
170,kone,-21.0595,164.8658,32.32,46,7,2.1,NC,1701479601
171,mount pearl,47.5166,-52.7813,4.36,93,100,3.58,CA,1701479613
172,abu dhabi,24.4667,54.3667,24.97,62,1,2.86,AE,1701479512
173,kas,36.2018,29.6377,15.78,76,7,1.83,TR,1701479614
174,svetlyy,54.675,20.1347,0.2,96,98,0.04,RU,1701479614
175,tchintabaraden,15.8969,5.7985,22.96,18,0,4.64,NE,1701479614
176,punta arenas,-53.15,-70.9167,6.06,65,75,8.23,CL,1701479614
177,bacon,13.0378,124.0411,27.12,84,56,7.18,PH,1701479614
178,murray bridge,-35.1167,139.2667,17.29,61,81,6.34,AU,1701479615
179,niafunke,15.9322,-3.9906,26.65,16,11,5.23,ML,1701479615
180,pangody,65.85,74.4859,-20.52,97,39,3.63,RU,1701479615
181,kirensk,57.7853,108.1119,-10.02,91,100,4.02,RU,1701479615
182,igarka,67.4667,86.5833,-17.69,93,100,3.77,RU,1701479616
183,santiago de cao,-7.9589,-79.2392,20.07,83,75,4.12,PE,1701479616
184,ta'izz,13.5,44,17.36,59,82,1.25,YE,1701479616
185,shahba,32.8551,36.629,11.33,57,0,1.5,SY,1701479616
186,qulsary,46.9531,54.0198,4.38,92,100,3.58,KZ,1701479617
187,susuman,62.7833,148.1667,-24.85,98,100,1.56,RU,1701479617
188,holualoa,19.6228,-155.9522,27.53,79,75,5.66,US,1701479618
189,tahe,52.3333,124.7333,-15.21,74,25,1.19,CN,1701479618
190,bodaybo,57.8506,114.1933,-13.22,97,100,0.35,RU,1701479531
191,welshpool,52.6597,-3.1471,-0.29,90,6,1.56,GB,1701479618
192,kendari,-3.945,122.4989,29.29,76,23,1.09,ID,1701479618
193,chonchi,-42.6128,-73.8092,7.29,95,13,1.55,CL,1701479619
194,ylitornio,66.3089,23.6773,-17.16,98,100,2.39,FI,1701479619
195,vila velha,-20.3297,-40.2925,26.97,76,20,4.12,BR,1701479620
196,mathis,28.0945,-97.828,18.03,83,95,3.49,US,1701479620
197,ain sukhna,29.6002,32.3167,16.3,90,24,2.55,EG,1701479620
198,prainha,-1.8,-53.48,26.92,69,100,1.48,BR,1701479448
199,flin flon,54.7682,-101.865,-14.72,99,72,1.53,CA,1701479488
200,kinchil,20.9167,-89.95,28.04,57,100,3.3,MX,1701479621
201,strezhevoy,60.7333,77.5889,-12.8,97,93,0.89,RU,1701479543
202,lillehammer,61.1146,10.4674,-9.99,98,99,0.52,NO,1701479621
203,bargaal,11.2864,51.0773,24.89,71,19,6.46,SO,1701479622
204,stanley,54.868,-1.6985,-6.99,100,12,0.51,GB,1701479622
205,sisimiut,66.9395,-53.6735,-3.73,77,100,2.84,GL,1701479602
206,taoudenni,22.6783,-3.9836,20.94,13,8,0.63,ML,1701479622
207,fort bragg,35.139,-79.006,19.91,87,100,3.6,US,1701479623
208,visby,57.6409,18.296,-0.66,86,100,1.54,SE,1701479623
209,georgetown,5.4112,100.3354,27.19,83,20,2.06,MY,1701479428
210,lebu,-37.6167,-73.65,11.14,88,100,5.53,CL,1701479422
211,zhangye,38.9342,100.4517,-3.1,32,41,0.78,CN,1701479623
212,kiruna,67.8557,20.2251,-11.49,92,100,1.03,SE,1701479623
213,padang,-0.9492,100.3543,25.03,91,100,1.02,ID,1701479624
214,preobrazheniye,42.9019,133.9064,-4.71,53,0,2.54,RU,1701479624
215,san patricio,28.017,-97.5169,18.08,80,100,4.34,US,1701479624
216,kingston,17.997,-76.7936,26.78,88,63,1.33,JM,1701479624
217,funafuti,-8.5243,179.1942,28,83,75,0,TV,1701479625
218,invercargill,-46.4,168.35,14.05,71,100,2.37,NZ,1701479397
219,tadine,-21.55,167.8833,25.97,69,61,4.43,NC,1701479625
220,magadan,59.5667,150.8,-14.15,86,100,4.47,RU,1701479625
221,duyun,26.2667,107.5167,5.47,91,100,1.38,CN,1701479625
222,guatrache,-37.6678,-63.5302,21.89,24,3,1.89,AR,1701479626
223,whitehorse,60.7161,-135.0538,-13.28,98,100,0.65,CA,1701479423
224,mar del plata,-38.0023,-57.5575,17.83,87,17,0.45,AR,1701479469
225,belyy yar,53.6039,91.3903,-6.06,86,75,1,RU,1701479626
226,essaouira,31.5125,-9.77,17.8,78,97,8.42,MA,1701479626
227,maun,-19.9833,23.4167,23.94,41,36,2.87,BW,1701479626
228,oleiros,43.3333,-8.3167,8.21,97,75,2.06,ES,1701479402
229,klyuchi,52.2667,79.1667,-2.13,86,100,5.36,RU,1701479431
230,san ignacio de velasco,-16.3667,-60.95,25.69,72,87,2.73,BO,1701479627
231,kourou,5.1552,-52.6478,25.03,85,100,2.46,GF,1701479627
232,nova sintra,14.8667,-24.7167,22.79,75,100,4.26,CV,1701479627
233,sant antoni de portmany,38.9807,1.3036,15.77,56,0,9.26,ES,1701479628
234,harsud,22.1,76.7333,18.23,94,0,2.86,IN,1701479628
235,marshall,34.3834,-86.3333,16.88,96,100,3.09,US,1701479628
236,anar darah,32.7587,61.654,12.33,43,76,1.88,AF,1701479628
237,vilyuchinsk,52.9306,158.4028,-4.3,75,8,5.31,RU,1701479628
238,st. john's,47.5649,-52.7093,4.82,93,100,2.24,CA,1701479578
239,codrington,-38.2667,141.9667,16.97,65,45,6.35,AU,1701479629
240,merritt,50.1123,-120.7942,-2.04,89,83,1.34,CA,1701479629
241,balqash,46.8481,74.995,1.66,60,100,3.74,KZ,1701479629
242,lazaro cardenas,17.9583,-102.2,26.59,72,100,2.55,MX,1701479629
243,al jaradiyah,16.5795,42.9124,25.72,74,96,0.16,SA,1701479629
244,kenai,60.5544,-151.2583,-1.03,88,0,0,US,1701479630
245,la passe,45.5549,-0.8967,4.13,86,16,3.92,FR,1701479630
246,pinheiro machado,-31.5783,-53.3811,21.76,96,100,2.06,BR,1701479630
247,kokoda,-8.8785,147.7407,27.32,80,94,1.54,PG,1701479630
248,gadzhiyevo,69.2551,33.3362,-14.78,99,88,2.45,RU,1701479631
249,gizo,-8.103,156.8419,28.65,76,99,2.96,SB,1701479631
250,flying fish cove,-10.4217,105.6791,27.82,65,40,4.12,CX,1701479625
251,kijang,35.2442,129.2139,3.37,53,0,2.56,KR,1701479631
252,al burayqah,30.4062,19.5739,17.9,38,5,5.62,LY,1701479631
253,kailua-kona,19.6406,-155.9956,29.6,80,75,5.66,US,1701479632
254,afaahiti,-17.75,-149.2833,29.93,85,55,7.2,PF,1701479632
255,raiganj,25.6167,88.1167,20.24,57,94,1.5,IN,1701479632
256,zaozersk,69.4005,32.4476,-12.05,97,95,0.6,RU,1701479632
257,callao,-12.0667,-77.15,23.73,83,0,4.63,PE,1701479632
258,el granada,37.5027,-122.4694,14.39,78,75,4.63,US,1701479438
259,prince albert,53.2001,-105.7677,-8.14,80,51,2.17,CA,1701479633
260,ban su-ngai pa di,6.0724,101.8717,23.31,98,100,0.82,TH,1701479633
261,reggane,26.7158,0.1714,17.45,13,100,2.13,DZ,1701479633
262,ebon,4.582,168.6964,27.95,80,100,7.77,MH,1701479633
263,kattivakkam,13.2167,80.3167,26.15,87,98,8,IN,1701479633
264,alappuzha,9.49,76.3264,25.57,83,93,1.51,IN,1701479467
265,zheshart,62.0731,49.5733,-7.16,96,100,1.66,RU,1701479633
266,kostomuksha,64.571,30.5767,-9.42,95,99,4.02,RU,1701479634
267,meadow lakes,61.6247,-149.6011,-1.56,71,0,0.45,US,1701479634
268,mejit,10.2753,170.8646,27.57,76,75,9.1,MH,1701479634
269,tralee,52.2704,-9.7026,4.15,83,96,1.18,IE,1701479576
270,carutapera,-1.195,-46.02,25.73,84,81,2.45,BR,1701479634
271,margaret river,-33.95,115.0667,19.9,67,100,3.27,AU,1701479634
272,tromso,69.6496,18.957,-0.99,74,100,6.69,NO,1701479480
273,khovd,48.0056,91.6419,-9.78,72,21,0.83,MN,1701479635
274,teluknaga,-6.0989,106.6381,29.54,94,20,3.09,ID,1701479635
275,nipomo,35.0428,-120.476,14.73,64,0,7.72,US,1701479609
276,rongelap,11.1635,166.8941,27.79,76,100,9.01,MH,1701479636
